Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (34116825),Luka Doncic,2834,PG/G/UTIL,11600,DAL@OKC 05/09/2024 09:30PM ET,DAL,70.4
PG,Shai Gilgeous-Alexander (34116832),Shai Gilgeous-Alexander,2984,PG/G/UTIL,9500,DAL@OKC 05/09/2024 09:30PM ET,OKC,64.2
SF/PF,Jayson Tatum (34116828),Jayson Tatum,2597,SF/PF/F/UTIL,9400,CLE@BOS 05/09/2024 07:00PM ET,BOS,59
PG/SG,Donovan Mitchell (34116835),Donovan Mitchell,2651,PG/SG/G/UTIL,8800,CLE@BOS 05/09/2024 07:00PM ET,CLE,56.1
PG/SG,Kyrie Irving (34116839),Kyrie Irving,2826,PG/SG/G/UTIL,8700,DAL@OKC 05/09/2024 09:30PM ET,DAL,50.9
SG/SF,Jaylen Brown (34116843),Jaylen Brown,2596,SG/SF/F/G/UTIL,8000,CLE@BOS 05/09/2024 07:00PM ET,BOS,50.4
PF/C,Evan Mobley (34116848),Evan Mobley,2658,PF/C/F/UTIL,7700,CLE@BOS 05/09/2024 07:00PM ET,CLE,43.2
PG/SF,Jalen Williams (34116852),Jalen Williams,2997,PG/SF/F/G/UTIL,7600,DAL@OKC 05/09/2024 09:30PM ET,OKC,50.5
PF/C,Kristaps Porzingis (34116857),Kristaps Porzingis,2595,PF/C/F/UTIL,7200,CLE@BOS 05/09/2024 07:00PM ET,BOS,0
C,Chet Holmgren (34116861),Chet Holmgren,2995,C/UTIL,7100,DAL@OKC 05/09/2024 09:30PM ET,OKC,46.6
C,Jarrett Allen (34116863),Jarrett Allen,2650,C/UTIL,6800,CLE@BOS 05/09/2024 07:00PM ET,CLE,0
PG/SG,Derrick White (34116865),Derrick White,2598,PG/SG/G/UTIL,6700,CLE@BOS 05/09/2024 07:00PM ET,BOS,40.6
PG,Darius Garland (34116869),Darius Garland,2652,PG/G/UTIL,6300,CLE@BOS 05/09/2024 07:00PM ET,CLE,39
PG,Jrue Holiday (34116872),Jrue Holiday,2593,PG/G/UTIL,5800,CLE@BOS 05/09/2024 07:00PM ET,BOS,35.7
PG/SG,Josh Giddey (34116879),Josh Giddey,2990,PG/SG/G/UTIL,5700,DAL@OKC 05/09/2024 09:30PM ET,OKC,30.4
PF/C,Al Horford (34116875),Al Horford,2594,PF/C/F/UTIL,5700,CLE@BOS 05/09/2024 07:00PM ET,BOS,36.2
PF/C,PJ Washington (34116883),PJ Washington,0,PF/C/F/UTIL,5600,DAL@OKC 05/09/2024 09:30PM ET,DAL,34
SG/SF,Max Strus (34116887),Max Strus,2655,SG/SF/F/G/UTIL,5300,CLE@BOS 05/09/2024 07:00PM ET,CLE,29.1
C,Daniel Gafford (34116892),Daniel Gafford,2919,C/UTIL,4900,DAL@OKC 05/09/2024 09:30PM ET,DAL,37.3
SF,Luguentz Dort (34116894),Luguentz Dort,2986,SF/F/UTIL,4800,DAL@OKC 05/09/2024 09:30PM ET,OKC,29.4
SF/PF,Derrick Jones Jr. (34116897),Derrick Jones Jr.,2832,SF/PF/F/UTIL,4700,DAL@OKC 05/09/2024 09:30PM ET,DAL,28.8
PG/SG,Caris LeVert (34116901),Caris LeVert,2648,PG/SG/G/UTIL,4600,CLE@BOS 05/09/2024 07:00PM ET,CLE,29.2
C,Dereck Lively II (34116905),Dereck Lively II,2840,C/UTIL,4500,DAL@OKC 05/09/2024 09:30PM ET,DAL,26
PG,Payton Pritchard (34116907),Payton Pritchard,2602,PG/G/UTIL,4100,CLE@BOS 05/09/2024 07:00PM ET,BOS,23.7
SF,Aaron Wiggins (34116914),Aaron Wiggins,2992,SF/F/UTIL,4000,DAL@OKC 05/09/2024 09:30PM ET,OKC,23.3
SF/PF,Isaac Okoro (34116910),Isaac Okoro,2656,SF/PF/F/UTIL,3900,CLE@BOS 05/09/2024 07:00PM ET,CLE,26.2
C,Luke Kornet (34116917),Luke Kornet,2599,C/UTIL,3800,CLE@BOS 05/09/2024 07:00PM ET,BOS,24
SG/SF,Tim Hardaway Jr. (34116924),Tim Hardaway Jr.,2827,SG/SF/F/G/UTIL,3700,DAL@OKC 05/09/2024 09:30PM ET,DAL,17.9
SG/SF,Sam Hauser (34116919),Sam Hauser,2606,SG/SF/F/G/UTIL,3700,CLE@BOS 05/09/2024 07:00PM ET,BOS,19.6
C,Jaylin Williams (34116931),Jaylin Williams,2998,C/UTIL,3500,DAL@OKC 05/09/2024 09:30PM ET,OKC,19.5
C,Dean Wade (34116929),Dean Wade,2654,C/UTIL,3500,CLE@BOS 05/09/2024 07:00PM ET,CLE,0
PG/SG,Cason Wallace (34116933),Cason Wallace,2999,PG/SG/G/UTIL,3400,DAL@OKC 05/09/2024 09:30PM ET,OKC,21.7
PF/C,Maxi Kleber (34116937),Maxi Kleber,2833,PF/C/F/UTIL,3300,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
SF/PF,Josh Green (34116941),Josh Green,2836,SF/PF/F/UTIL,3200,DAL@OKC 05/09/2024 09:30PM ET,DAL,19.1
SG/SF,Isaiah Joe (34116945),Isaiah Joe,2988,SG/SF/F/G/UTIL,3200,DAL@OKC 05/09/2024 09:30PM ET,OKC,18
C,Tristan Thompson (34116950),Tristan Thompson,2645,C/UTIL,3200,CLE@BOS 05/09/2024 07:00PM ET,CLE,17.9
SG,Sam Merrill (34116952),Sam Merrill,2657,SG/G/UTIL,3200,CLE@BOS 05/09/2024 07:00PM ET,CLE,14.7
C,Xavier Tillman (34116955),Xavier Tillman,2781,C/UTIL,3100,CLE@BOS 05/09/2024 07:00PM ET,BOS,10.6
SF/PF,Marcus Morris Sr. (34116957),Marcus Morris Sr.,2579,SF/PF/F/UTIL,3100,CLE@BOS 05/09/2024 07:00PM ET,CLE,15
SG/SF,AJ Lawson (34116961),AJ Lawson,0,SG/SF/F/G/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
PG,Adam Flagler (34116970),Adam Flagler,3300,PG/G/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
PF/C,Kenrich Williams (34116973),Kenrich Williams,2985,PF/C/F/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
SG,Keyontae Johnson (34116977),Keyontae Johnson,3000,SG/G/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
PF,Ousmane Dieng (34116980),Ousmane Dieng,2996,PF/F/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
SG,Lindy Waters III (34116983),Lindy Waters III,2994,SG/G/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
C,Mike Muscala (34116986),Mike Muscala,2912,C/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
C,Bismack Biyombo (34116988),Bismack Biyombo,2771,C/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
SF/PF,Gordon Hayward (34116990),Gordon Hayward,2504,SF/PF/F/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,11.8
C,Olivier Sarr (34116994),Olivier Sarr,2993,C/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,OKC,0
PF/C,Markieff Morris (34117020),Markieff Morris,2829,PF/C/F/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
C,Dwight Powell (34117024),Dwight Powell,2825,C/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,8.4
PG/SG,Jaden Hardy (34117026),Jaden Hardy,2839,PG/SG/G/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
SF,Alex Fudge (34117030),Alex Fudge,2876,SF/F/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
PG,Brandon Williams (34117033),Brandon Williams,3204,PG/G/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
PG/SG,Dante Exum (34117036),Dante Exum,2828,PG/SG/G/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,13.4
SF/PF,Olivier-Maxence Prosper (34117040),Olivier-Maxence Prosper,2841,SF/PF/F/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
SF,Greg Brown (34117044),Greg Brown,2837,SF/F/UTIL,3000,DAL@OKC 05/09/2024 09:30PM ET,DAL,0
SF/PF,Georges Niang (34116966),Georges Niang,2649,SF/PF/F/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,CLE,10
SF,Drew Peterson (34116996),Drew Peterson,3103,SF/F/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,BOS,0
C,Neemias Queta (34116999),Neemias Queta,2605,C/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,BOS,0
SG/SF,Svi Mykhailiuk (34117001),Svi Mykhailiuk,2600,SG/SF/F/G/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,BOS,8
SF,Jordan Walsh (34117006),Jordan Walsh,2609,SF/F/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,BOS,0
SG/SF,Jaden Springer (34117009),Jaden Springer,2589,SG/SF/F/G/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,BOS,8
PG,JD Davison (34117014),JD Davison,2608,PG/G/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,BOS,0
PF,Oshae Brissett (34117017),Oshae Brissett,2601,PF/F/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,BOS,8
PF,Pete Nance (34117047),Pete Nance,3263,PF/F/UTIL,3000,CLE@BOS 05/09/2024 07:00PM ET,CLE,0
